audio,sentence
data/audio/156.wav,"L'arthroplastie céphalique a été réalisée avec succès, sans complications peropératoires. La prothèse a été parfaitement intégrée, garantissant une mobilité articulaire optimale et une récupération fonctionnelle rapide."
data/audio/145.wav,"Le rapport de laboratoire révèle une hyperglycémie notable, suggérant une possible dysrégulation métabolique."
data/audio/208.wav,"Le pontage coronarien s'est déroulé sans complications, avec une anastomose distale parfaite et une revascularisation complète de l'artère coronaire descendante antérieure."
data/audio/210.wav,"Le pontage coronarien s'est déroulé sans complications, avec une anastomose distale parfaite sur l'artère interventriculaire antérieure et une revascularisation complète du territoire coronarien."
data/audio/83.wav,Le rapport radiologique révèle une fracture diaphysaire transverse de la clavicule avec un déplacement modéré et un hématome périosté associé.
data/audio/171.wav,"J'ai procédé à une réduction fermée de la fracture diaphysaire de l'humérus avec une ostéosynthèse par plaque vissée, assurant une stabilité anatomique satisfaisante."
data/audio/18.wav,"La mastectomie bilatérale s'est déroulée sans complication peropératoire, avec une hémostase parfaite et une préservation optimale des structures adjacentes."
data/audio/183.wav,"La craniotomie a permis l'exérèse complète d'un astrocytome de haut grade, avec une hémostase impeccable et une décompression parenchymateuse satisfaisante."
data/audio/20.wav,"La mastectomie bilatérale s'est déroulée sans incident peropératoire, avec une hémostase optimale et une préservation des structures nerveuses et vasculaires adjacentes."
data/audio/13.wav,"La réparation de la hernie inguinale s'est déroulée sans complications, avec une dissection méticuleuse du sac herniaire et une suture anatomique précise des structures pariétales."
data/audio/117.wav,Le scanner thoracique révèle une embolie pulmonaire bilatérale avec opacités en verre dépoli et signes de dilatation des artères pulmonaires.
data/audio/203.wav,"La décompression microvasculaire a permis une réduction significative de la compression neurale, améliorant ainsi la perfusion sanguine et soulageant les symptômes de neuropathie."
data/audio/57.wav,Pourriez-vous prescrire une ordonnance comprenant des corticostéroïdes inhalés et des bêta-agonistes de longue durée d'action pour notre patient asthmatique ?
data/audio/68.wav,"Le rapport radiologique révèle une fracture transverse du tibia avec déplacement distal significatif, nécessitant une intervention orthopédique urgente."
data/audio/104.wav,Le scanner cérébral révèle une parenchyme cérébral postérieur suggestive d'infarctus ischémique aigu avec lacune hypodense à distribution artérielle.
data/audio/158.wav,"L'arthroplastie totale de la hanche s'est déroulée sans complications, avec une réduction satisfaisante et une ostéointégration prévisible de la prothèse."
data/audio/121.wav,"L'IRM cérébral révèle une hyperintensité diffuse dans la substance blanche, suggérant une possible démyélinisation."
data/audio/112.wav,"Le scanner abdominal révèle des signes évocateurs d'appendicite aiguë, notamment un appendice dilaté avec infiltration graisseuse péritonéale et épaississement de la paroi cæcale."
data/audio/193.wav,L'intervention pour l'anévrisme cérébral a révélé une dissection artérielle nécessitant une reconstruction vasculaire par clippage microsurgical.
data/audio/155.wav,"Cher confrère, le rapport de laboratoire révèle une thyroïdite de Hashimoto caractérisée par une infiltration lymphocytaire diffuse et une atrophie folliculaire, suggérant une auto-immunité thyroïdienne active."
